Timestamp,Speed_KMH,Throttle,Brake,Steer,Gap,Status
1773472442.999,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472443.068,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472443.138,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472443.205,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472443.265,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472443.331,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472443.393,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472443.458,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472443.522,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472443.604,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472443.682,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472443.748,0.01,0.00,1.00,0.03,50.0,RED LIGHT
1773472443.814,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472443.878,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472443.943,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472444.007,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472444.071,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472444.134,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472444.191,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472444.252,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472444.313,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472444.385,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472444.449,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472444.513,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472444.573,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472444.641,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472444.709,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472444.770,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472444.831,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472444.896,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472444.961,0.01,0.00,1.00,0.03,50.0,RED LIGHT
1773472445.026,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472445.087,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472445.150,0.01,0.00,1.00,0.03,50.0,RED LIGHT
1773472445.212,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472445.278,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472445.342,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472445.405,0.01,0.00,1.00,0.03,50.0,RED LIGHT
1773472445.471,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472445.549,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472445.620,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472445.687,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472445.747,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472445.804,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472445.868,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472445.927,0.01,0.00,1.00,0.03,50.0,RED LIGHT
1773472445.995,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472446.058,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472446.120,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472446.186,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472446.249,0.01,0.00,1.00,0.03,50.0,RED LIGHT
1773472446.309,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472446.369,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472446.432,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472446.491,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472446.561,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472446.625,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472446.689,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472446.750,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472446.815,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472446.875,0.01,0.00,1.00,0.03,50.0,RED LIGHT
1773472446.936,0.01,0.00,1.00,0.03,50.0,RED LIGHT
1773472446.995,0.01,0.00,1.00,0.03,50.0,RED LIGHT
1773472447.056,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472447.113,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472447.173,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472447.234,0.01,0.00,1.00,0.03,50.0,RED LIGHT
1773472447.293,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472447.360,0.01,0.00,1.00,0.03,50.0,RED LIGHT
1773472447.418,0.01,0.00,1.00,0.03,50.0,RED LIGHT
1773472447.481,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472447.542,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472447.599,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472447.664,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472447.727,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472447.784,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472447.843,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472447.902,0.01,0.00,1.00,0.03,50.0,RED LIGHT
1773472447.967,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472448.030,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472448.090,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472448.153,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472448.209,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472448.272,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472448.331,0.01,0.00,1.00,0.03,50.0,RED LIGHT
1773472448.390,0.00,0.00,1.00,0.03,50.0,RED LIGHT
